0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the text (description of item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,0
0,,,,,,,,,,,,,Text identity,,,,,,Related entities,,,Text typology,,,,Language(s) and script(s),,,,,,,,,,,,Physical form,,,,,,,Date of the text,,,,Filiation,,,,,,,Rights,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the text,Designation,Alternative identifier,Alternative designation,Alternative designation,Location on the artefact/conglomerate artefact/monument,ID of the artefact(s),ID of the conglomerate artefact,ID of the monument,Text type 1,Text type 2,Text type 3,Text type 4,Language 1,Script classification 1,Script maturity 1,Language 2,Script classification 2,Script maturity 2,Language 3,Script classification 3,Script maturity 3,Language 4,Script classification 4,Script maturity 4,Lettering technique,Lines (observed),Lines (estimated),Lines per zone(s),Dimensions of text zone(s),Height of glyph,Width of glyph,Date CE,Date interval CE,Date precision,Date evidence,Duplicate ID,Reissue ID,Reissue date,Bibliographical references (primary),Bibliographical references (secondary),Keyword(s),Remarks,Project responsible for publication,Distribution rights of the text,Identifier of the surrogate,Identifier of the digital image,0
0,Description of the fields,Digital identifier of the inscription as text. Syntax: INS<corpus>00001,Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,"Identifier of the text. 
Syntax: INS<corpus>00001",Designation of the text [= title in xml edition],Alternative identifier(s),Alternative designation(s),Alternative designation(s),Location on the artefact/conglomerate artefact/monument (free text),"ID of the artefact bearing the text. If there is more than one artefact bearing the text, use $ as separator.",ID of the conglomerate artefact bearing the text,ID of the monument bearing the text,"Text type (ideally only 1, choose misc. if you need to record more than 1)",Text type 2 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 3 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Text type 4 (use only if more than 1 is necessary – Text type 1 must then have value misc.),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),Language of the text,Script of the text,Maturity of script (if the script classification is Brahmi and derivatives only),"Writing technique (engraved, relief, painted, etc.)",Number of lines of this text preserved/observed on the artefact(s),Known or estimated total number of lines in this text,"Number of lines observed per zone – if multiple zones, use $ as separator and letter prefix plus colon for each zone (format A:10$B:12)","Height x Width of the inscribed zone or zones (cm) – if multiple zones, use $ as separator and letter prefix plus colon before h and w values ",Height of an average aksara (cm),Width of an average aksara (cm),YYYY-MM-DD or YYYY-MM or YYYY,YYYY-YYYY,precision of the text's dating,evidence that indicates the date of the text,"ID of the corresponding text. If there is more than one duplicate, you should separate the identifiers by $.","ID of the corresponding text.  If there is more than one duplicate, you should separate the identifiers by $.",CE date of reissue (YYYY or YYYY-YYYY),Bibliographical references. Use $ to separate the references,Bibliographical references. Use $ to separate the references,"Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms",Remarks on text-related metadata (free text),Project responsible for making this text edition available,Licence applicable to the text edition,Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.,Identifier(s) of the related digital image(s). Use $ to separate the identifiers.,0
,,INSDaksinaKosala00001,INSDk00001,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00001,"Pīparḍūlā Plates of Narendra, Year 3",,,,,,conART00001,,administrative/legal - royal_order - tax_regulation,,,,Sanskrit,brahmi_and_derivatives - northern_class_brahmi,late Brahmi,,,,,,,,,,engraved,22,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY 4.0,,,
,,INSDaksinaKosala00002,INSDk00002,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00002,"Kurud Plates of Narendra, Year 24",,,,,,conART00002,,donative - religious_land_grant - confirmation_previous_religious_land_grant,,,,Sanskrit,brahmi_and_derivatives - northern_class_brahmi,late Brahmi,,,,,,,,,,engraved,23,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY 4.0,,,
,,INSDaksinaKosala00003,INSDk00003,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00003,"Stray Rawan Plate of Narendra, undated",,,,,ART000001,,,administrative/legal - royal_order - tax_regulation,,,,Sanskrit,brahmi_and_derivatives - northern_class_brahmi,late Brahmi,,,,,,,,,,engraved,6,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY 4.0,,,
,,INSDaksinaKosala00004,INSDk00004,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00004,"Amgura Plates of Jayarāja, Year 3",,,,,,conART00003,,administrative/legal - royal_order - tax_regulation,,,,Sanskrit,brahmi_and_derivatives - northern_class_brahmi,late Brahmi,,,,,,,,,,engraved,21,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY 4.0,,,
,,INSDaksinaKosala00005,INSDk00005,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00005,"Malhār Plates of Jayarāja, Year 5",,,,,,conART00004,,administrative/legal - royal_order - tax_regulation,,,,Sanskrit,brahmi_and_derivatives - northern_class_brahmi,late Brahmi,,,,,,,,,,engraved,23,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY 4.0,,,
,,INSDaksinaKosala00006,INSDk00006,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00006,"Āraṅg Plates of Jayarāja, Year 5",,,,,,conART00005,,administrative/legal - royal_order - tax_regulation,,,,Sanskrit,brahmi_and_derivatives - northern_class_brahmi,late Brahmi,,,,,,,,,,engraved,26,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY 4.0,,,
,,INSDaksinaKosala00007,INSDk00007,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00007,"Malhār Plates of Jayarāja, Year 9",,,,,,conART00006,,administrative/legal - royal_order - tax_regulation,,,,Sanskrit,brahmi_and_derivatives - northern_class_brahmi,late Brahmi,,,,,,,,,,engraved,28,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY 4.0,,,
,,INSDaksinaKosala00008,INSDk00008,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00008,"Nahna Plates of Sudevarāja, Year 2",,,,,,conART00007,,administrative/legal - royal_order - tax_regulation,,,,Sanskrit,brahmi_and_derivatives - northern_class_brahmi,late Brahmi,,,,,,,,,,engraved,25,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY 4.0,,,
,,INSDaksinaKosala00009,INSDk00009,2022-01-17,Natasja Bosma,2022-01-17,,,,DHARMA,DaksinaKosala,CC0,INSDaksinaKosala00009,"Dhamatari Plates of Sudevarāja, Year 3",,,,,,conART00008,,administrative/legal - royal_order - tax_regulation,,,,Sanskrit,brahmi_and_derivatives - northern_class_brahmi,late Brahmi,,,,,,,,,,engraved,30,,,,,,,,,,,,,,,Copperplate grant,,DHARMA,CC-BY 4.0,,,
